>>> GraphicConverter ::: v11.2.2 - August 5, 2020 ::: https://www.lemkesoft.de/en/products/graphicconverter/
>>> Formats: https://www.lemkesoft.de/en/products/graphicconverter/key-features/import-and-export-formats/
>>> JS Code to rip formats: Array.from(document.querySelectorAll("#c315 table tr")).map(tr => Array.from(tr.querySelectorAll("td")).map(td => td.textContent.trim())).join("\n")
Format,Import,Export,Metadata *),Comment
Sinclair QL,X,-,-,Format of the Sinclair QL
SIXEL,X,-,-,Terminal format from the VAX world.
SKETCH,X,-,-,Variant of the MBM format.
SMV,X,-,-,format of a microscope
SNX,X,-,-,A modification of the JPEG format
SoFTIMAGE,X,X,-,Format of Softimage.Supports 32 bits per pixel.Used for video applications.
SPC,X,-,-,Image of the Spectrum application.Supports 320 x 200 pixel at 512 colors.
SRF,X,-,-,see Photo Raw
ST X SBIG,X,-,-,Supports 256 grays.
StartupScreen s,X,X,-,This file can be placed in the system folder ; so, the Mac OS will display the image during startup
STV,X,-,-,Medizinisches Format
SUN,X,-,-,SUN Raster file format.Supports 8 or 24 bit per pixel.
Super-Hi-Res 3200,X,-,-,Images with 32000 colors of the Apple Iigs
SVG,X 8),X,-,Scaleable Vector Graphics
SWF,X,X,-,Using QuickTime (Macromedia Flash)
System 7 clip,-,X,-,Clipboard format when copying or moving data on System 7 or higher
TBC,X,-,-,TBCPlus
TCL,X,-,-,TCL format
TealPaint PDB,X,-,-,Palm OS format.Supports b&w and 256 colors (default Palm color table).
TEX,X,-,-,Texture
TGA,X,X,-,Format from Truevision TargaSupport 1, 8, 15 and 24 bits per pixel.
TIFF,X,X,IPTC, ICC, XMP, EXIF, COM,complex format for all color depthsGraphicConverter can import and export the following compression kinds : uncompressed, packbits, lzw, ccitt3, ccitt4, fax3, fax4
TIM PSX,X,-,-,-
Tiny Viewer PDB,X,-,-,Format of the Tiny Viewer on PalmOS
TN ?,X,-,-,Format of the ATARI application TINY
TRS-80,X,X,-,Format of the TRS-80-
VBM,X,-,-,-
VFF,X,-,-,Uses 4 bit per pixel
VGS-8,X,-,-,Used by a microscope.Supports 256 grays.
VITRoNIC,X,-,-,Vitronic format.Supports 256 grays.
VoXEL,X,-,-,512 x 512 pixel at 256 grays format.
VPB,X,X,-,Format of the Quantel video system.
VPM,X,-,-,-
WBIN,X,X,-,Format of the MacWavelets application
WBMP,X,X,-,Format for the new WAP technology.
wbz,X,-,-,Five variants are recognized
wdb,X,-,-,HD photo format from Microsoft. (*) Can only be imported with the UB version of GraphicConverter.
Webp,X,X,-,Format for the Internet without meta data.
Winfax (FXM),X,-,-,Winfax file format; can be multipage
Winmail.dat,X,-,-,All readable images it contains will be opened in a multiple-page document.
WMF,X,X,-,Windows Meta File. Contains vector and bitmap images.
WPG,X,-,-,Graphic file format of Word Perfect.It can contain bitmap and vector images.
X11,X,-,-,Bitmap.
X3F,X,-,-,see Photo Raw
XBM,X,X,-,Black & white format that is C encoded.
XCF,X 8),-,-,GIMP native document
XFIG,X 1),-,-,X-FIG drawings
X-Face,X,X,-,Supports 48 x 48 pixel at 1 bit.Used for small photos in newsgroups.
XPM,X,X,-,Bitmap ASCII.
XWD,X,X,-,Dump of X - Windows.
YUV,X,-,-,Diskus format.
Z04, Z08, Z16, Z24, Z32,X,-,-,z3d format
