>>> abydos (v0.2.0) - IMAGE (http://snisurset.net/code/abydos/news.html)
Image format	MIME type(s)	Extension(s)	Supported by abydos	Supported by gdk-pixbuf	Supported by Deark	Supported by ImageMagick	Supported by FFmpeg
Sun Rasterfile 24-bit	image/x-cmu-raster, image/x-sun-raster	im24	Yes	No	Yes	No	Yes
Sun Rasterfile 32-bit	image/x-cmu-raster, image/x-sun-raster	im32	Yes	No	No	Yes	Yes
Tagged Image File Format (TIFF)	image/tiff	tif, tiff	Yes	Lacks multi page support	No	Yes	Yes
Tencent TAP	image/vnd.tencent.tap	tap	Yes	No	No	No	No
Texas Instruments Calculator Image Variable	application/x-ti-variable, application/x-tilp, application/x-tilp-image		Yes	No	Yes	No	No
TI-82 Image Variable	application/x-ti-variable, application/x-tilp, application/x-tilp-image	82i	Yes	No	Yes	No	No
TI-84 Plus C Background Variable	application/x-ti-variable, application/x-tilp, application/x-tilp-image	8ca	Yes	No	Yes	No	No
TI-84 Plus C Image Variable	application/x-ti-variable, application/x-tilp, application/x-tilp-image	8ci	Yes	No	Yes	No	No
TI-92 Image Variable	application/x-ti-variable, application/x-tilp, application/x-tilp-image	92i	Yes	No	Yes	No	No
Tobias Richter Fullscreen Slideshow	image/x-tobias-richter-fullscreen-slideshow	pci	Yes	No	No	No	No
Truevision Targa	image/x-tga	targa, tga	Yes	Yes	Yes	No	Yes
TUNDRA	text/x-tundra	tnd	Yes	No	No	No	No
Valve Texture Format (VTF)	image/vnd.valve.source.texture, image/x-vtf	vtf	Yes	No	No	No	No
Vidcom 64	image/x-vidcom-64	vid	Yes	No	No	No	No
Video Image Communication and Retrieval (VICAR)	image/x-vicar	img, map, vic, vicar	Yes	No	No	Yes	No
WAD2	application/x-doom-wad	wad	Yes	No	No	No	No
WebP	image/webp	webp	Yes	No	No	Yes	No
Windows & Aldus Metafile (WMF)	image/wmf, image/x-wmf	apm, wmf	Yes	Using third party loader	No	Yes	No
Windows Animated Cursor	application/x-navi-animation	ani	Yes	Lacks variant support	Yes	No	No
Windows Bitmap (BMP)	image/bmp, image/x-bmp, image/x-ms-bmp	bmp	Yes	Yes	Yes	Yes	Yes
Windows DIB		dib	No	No	No	Yes	No
Windows Enhanced Metafile (EMF)	image/emf	emf	Yes	No	No	No	No
Windows Icon	application/ico, image/ico, image/icon, image/vnd.microsoft.icon, image/x-ico, image/x-icon, image/x-win-bitmap, text/ico	ico	Yes	Yes	Yes	Yes	Yes
Windows Cursor	application/ico, image/ico, image/icon, image/vnd.microsoft.icon, image/x-ico, image/x-icon, image/x-win-bitmap, text/ico	cur	Yes	Yes	Yes	Yes	No
Wireless Bitmap (level 0) (WBMP)	image/vnd.wap.wbmp	wap, wbm, wbmp	Yes	No	No	Yes	No
X11 Bitmap	image/x-xbitmap, image/x-xbmi	xbm	Yes	Yes	No	Yes	Yes
